Leaf type	Flower petal color	Leaf arrangement	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Bulbils	Petal and sepal colors	Fringed petal edges	Inflorescence type	Flower description	Wings on fruit	Calyx symmetry	Growth form	Parasitism	Spines on plant
simple	blue to purple or pink to red	alternate	entire	radially symmetrical	4	unfused	0 or 4	dry & doesn't split open	no bulbils	blue to purple or pink to red	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Myriophyllum tenellum
compound or simple	green to brown or yellow	alternate	lobes or teeth	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	green to brown or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	?	herb	not parasitic	no spines or with spines	Levisticum officinale
compound	blue to purple or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Vicia sativa
compound	blue to purple or green to brown or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical or bilaterally symmetrical	vine	not parasitic	no spines or with spines	Apios americana
compound or simple	yellow	alternate or basal	lobes	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ranunculus repens
compound	yellow	alternate	lobes or teeth	radially symmetrical	5	fused	5	fleshy	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Solanum lycopersicon
simple	?	alternate or opposite	teeth or entire	radially symmetrical	4	unfused or fused	4 or 5 or 6 or 7 or 8	dry & splits open	no bulbils	green to brown	?	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Chrysosplenium americanum
simple	pink to red or white	alternate or basal	entire	radially symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	fused	9	dry & doesn't split open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Chorizanthe pungens
simple	?	alternate or opposite	teeth or entire	radially symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	fused	0 or 5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Atriplex sibirica
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused	9	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rheum rhabarbarum
compound	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	vine	not parasitic	no spines or with spines	Phaseolus coccineus
compound	?	alternate	entire	radially symmetrical	5	unfused	13	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Nigella damascena
simple	white	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lysimachia clethroides
simple	pink to red or white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Cardamine bulbosa
simple	orange or yellow	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	orange or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Amsinckia eastwoodiae
simple	blue to purple	alternate	lobes	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Eryngium amethystinum
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ranunculus pensylvanicus
compound	pink to red or white	alternate	teeth	radially symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused	13	dry & splits open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Paeonia lactiflora
simple	pink to red or yellow	?	?	radially symmetrical	7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	fleshy	no bulbils	pink to red or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Opuntia humifusa
simple	yellow	alternate or opposite or whorled	entire	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Linaria spartea
simple	green to brown or pink to red or white or yellow	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum erectum
simple	yellow	alternate	entire	bilaterally symmetrical	5 or 6	fused	13	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Reseda luteola
simple	blue to purple or pink to red or white	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Braya humilis
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	unfused	9 or 10 or 11 or 12	fleshy	no bulbils	green to brown or pink to red or white	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Phytolacca americana
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex crispus
compound or simple	pink to red or white	alternate	lobes or entire	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Cuminum cyminum
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Potentilla erecta
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex triangulivalvis
simple	?	alternate	entire	radially symmetrical	0	?	1	dry & splits open or dry & doesn't split open	no bulbils	?	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	?	herb	not parasitic	no spines or with spines	Euphorbia esula
simple	white	alternate or opposite	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cryptantha ambigua
simple	blue to purple or pink to red	alternate	lobes	radially symmetrical	5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open or fleshy	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sphaeralcea mendocina
simple	yellow	alternate	lobes	radially symmetrical	5	fused	0 or 3	fleshy	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cucumis myriocarpus
compound	blue to purple or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Vicia hirsuta
simple	blue to purple or pink to red or white	alternate	entire	bilaterally symmetrical	5	fused	13	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Consolida orientalis
simple	blue to purple	alternate	lobes or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ipomoea tricolor
simple	white	alternate	lobes	radially symmetrical	5	fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Navarretia leucocephala
